code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders,开盘价,开板价格,开板涨幅%(未开板未截止目前累计涨幅%),涨停板个数,历史最高,历史最高涨幅%,现价
300504,N天邑,通信设备,四川,21.87,0.67,2.67,196783.86,0.0,0.0,0.0,0.0,0.86,4.23,4.45,20180330,0.0,0.0,31.67,51.32,0.0,9.76,126696.0,15.67,"未开板, 当前价格： 18.81",20.038289725590293,1,18.81,20.038289725590293,18.81
603214,N爱婴室,百货,上海,30.7,0.25,1.0,76961.15,61297.16,7078.72,2911.81,0.29,0.9359999999999999,4.99,5.76,20180330,25456.17,2.55,14.06,26.47,28.41,5.18,26639.0,0.0,0,0.0,0,0.0,0.0,0.0
603803,瑞斯康达,通信设备,北京,48.36,0.57,4.21,350456.31,304554.13,27475.74,68428.11,1.63,0.32,5.73,3.43,20170420,115344.52,2.74,0.0,0.0,52.54,8.38,30381.0,0.0,0,0.0,0,0.0,0.0,0.0
603722,阿科力,化工原料,江苏,59.63,0.22,0.87,46842.09,14853.99,11813.88,5405.39,0.62,0.469,4.57,8.15,20171025,16452.42,1.9,0.0,0.0,31.51,19.23,24007.0,0.0,0,0.0,0,0.0,0.0,0.0
002888,惠威科技,元器件,广东,79.91,0.21,0.83,46744.26,33464.35,6644.56,18065.27,2.17,0.33,5.22,5.43,20170721,14613.25,1.76,0.0,0.0,37.83,12.38,10000.0,10.76,27.15,152.32342007434946,9,41.3,283.8289962825279,28.35
603976,正川股份,医疗保健,重庆,33.45,0.27,1.08,103444.47,70124.05,29017.1,59884.21,5.54,0.596,8.68,3.06,20170822,20481.57,1.9,0.0,0.0,31.87,16.83,15008.0,0.0,0,0.0,0,0.0,0.0,0.0
002916,深南电路,元器件,深圳,48.91,0.7,2.8,744339.0,388232.59,285408.22,212300.27,7.58,2.13,11.31,6.92,20171213,66813.99,2.39,23.67,63.44,22.4,7.88,57100.0,23.16,92.8,300.69084628670123,14,103.5,346.8911917098446,78.27
300726,宏达电子,元器件,湖南,78.12,0.4,4.0,100780.3,80427.53,8466.57,30503.05,0.76,0.366,2.53,15.08,20171121,23141.2,0.58,0.0,0.0,70.73,39.73,79196.0,13.39,31.4,134.50336071695293,9,38.15,184.91411501120237,38.15
300708,聚灿光电,半导体,江苏,65.58,0.64,2.57,147835.27,75164.55,46085.87,25434.1,0.99,0.54,2.77,10.12,20171016,18079.84,0.7,29.32,81.53,28.97,17.72,37173.0,3.64,36.09,891.4835164835166,25,40.1,1001.6483516483516,28.04
300684,中石科技,化工原料,北京,138.4,0.22,0.87,61019.13,33648.35,24754.74,12281.78,1.41,0.342,5.45,11.57,20171227,15325.42,1.76,0.0,0.0,34.84,10.49,45590.0,10.56,53.05,402.36742424242414,17,65.08,516.2878787878788,63.12
