,date,open,close,high,low,volume,code
218,2018-04-12,5.03,4.96,5.04,4.96,193536.0,600008
219,2018-04-13,4.99,4.92,5.0,4.91,189899.0,600008
2083,2018-04-12,5.65,5.59,5.65,5.58,761504.0,600050
2084,2018-04-13,5.61,5.59,5.65,5.56,610659.0,600050
2480,2018-04-11,1.72,1.72,1.72,1.72,91478.0,600074
2922,2018-04-13,32.99,32.96,33.15,32.8,122472.0,600104
3601,2018-04-12,3.71,3.68,3.71,3.67,159859.0,600170
3602,2018-04-13,3.7,3.68,3.7,3.67,150425.0,600170
5058,2018-04-13,17.13,17.04,17.13,16.99,109514.0,600362
6707,2018-04-12,11.73,11.51,11.73,11.47,244492.0,600522
6708,2018-04-13,11.59,11.38,11.67,11.37,239726.0,600522
7587,2018-04-12,7.32,7.23,7.33,7.21,492577.0,600606
7588,2018-04-13,7.26,7.2,7.29,7.2,345227.0,600606
8508,2018-04-13,22.38,22.44,22.64,22.2,272054.0,600703
10471,2018-04-13,7.32,7.26,7.33,7.25,144101.0,600919
11772,2018-04-13,2.89,2.84,2.9,2.84,307193.0,601099
12431,2018-04-13,16.6,16.47,16.64,16.46,299809.0,601166
15889,2018-04-13,9.88,9.76,9.89,9.75,296037.0,601766
17421,2018-04-12,5.74,5.63,5.75,5.61,179352.0,601919
17422,2018-04-13,5.66,5.62,5.71,5.61,114017.0,601919
17526,2018-04-13,9.23,9.25,9.32,9.2,365255.0,601933
18394,2018-04-12,4.79,4.71,4.8,4.69,327561.0,601992
18395,2018-04-13,4.73,4.69,4.76,4.69,219191.0,601992
20153,2018-04-13,4.89,4.86,4.91,4.85,121830.0,166
20593,2018-04-13,7.56,7.45,7.58,7.43,267832.0,413
21714,2018-04-13,2.61,2.59,2.62,2.59,311771.0,630
22154,2018-04-13,3.38,3.38,3.4,3.36,282656.0,709
26936,2018-04-13,5.71,5.72,5.76,5.7,83973.0,2385
30533,2018-04-12,9.27,9.1,9.34,9.1,283012.0,300027
30534,2018-04-13,9.14,9.04,9.18,9.03,238779.0,300027
31524,2018-04-13,11.59,11.69,11.73,11.48,242311.0,300251
31632,2018-04-11,6.08,6.07,6.15,6.05,352293.0,300315
31633,2018-04-12,6.06,6.01,6.13,6.01,319856.0,300315
31634,2018-04-13,6.05,6.03,6.1,6.01,254888.0,300315
