index,commission,entrust_action,entrust_no,fill_date,fill_no,fill_price,fill_size,fill_time,symbol,task_id,trade_date
0,0.0,Buy,4,20180102,201801020001,4.72,2339200.0,143000,600582.SH,201801020001,20180102
1,0.0,Buy,2,20180102,201801020002,6.98,1585000.0,143000,600757.SH,201801020001,20180102
2,0.0,Buy,7,20180102,201801020003,9.25,1201200.0,143000,000541.SZ,201801020001,20180102
3,0.0,Buy,8,20180102,201801020004,13.04,850100.0,143000,600037.SH,201801020001,20180102
4,0.0,Buy,6,20180102,201801020005,13.25,835400.0,143000,601311.SH,201801020001,20180102
5,0.0,Buy,9,20180102,201801020006,19.96,550100.0,143000,002440.SZ,201801020001,20180102
6,0.0,Buy,5,20180102,201801020007,13.19,838600.0,143000,000400.SZ,201801020001,20180102
7,0.0,Buy,1,20180102,201801020008,19.84,559500.0,143000,600195.SH,201801020001,20180102
8,0.0,Buy,3,20180102,201801020009,24.08,460300.0,143000,000581.SZ,201801020001,20180102
9,0.0,Sell,11,20180103,201801030010,6.99,144900.0,143000,600757.SH,201801030002,20180103
10,0.0,Sell,17,20180103,201801030011,9.25,112500.0,143000,000541.SZ,201801030002,20180103
11,0.0,Sell,14,20180103,201801030012,13.36,92400.0,143000,000400.SZ,201801030002,20180103
12,0.0,Sell,19,20180103,201801030013,20.15,47300.0,143000,002440.SZ,201801030002,20180103
13,0.0,Sell,12,20180103,201801030014,24.49,50700.0,143000,000581.SZ,201801030002,20180103
14,0.0,Sell,18,20180103,201801030015,13.11,81700.0,143000,600037.SH,201801030002,20180103
15,0.0,Sell,15,20180103,201801030016,13.32,81400.0,143000,601311.SH,201801030002,20180103
16,0.0,Sell,13,20180103,201801030017,4.85,277600.0,143000,600582.SH,201801030002,20180103
17,0.0,Sell,10,20180103,201801030018,20.04,53400.0,143000,600195.SH,201801030002,20180103
18,0.0,Buy,16,20180103,201801030019,24.79,401300.0,143000,600062.SH,201801030002,20180103
19,0.0,Buy,23,20180104,201801040020,4.9,509700.0,143000,600582.SH,201801040003,20180104
20,0.0,Buy,27,20180104,201801040021,9.28,270600.0,143000,000541.SZ,201801040003,20180104
21,0.0,Buy,29,20180104,201801040022,20.25,115700.0,143000,002440.SZ,201801040003,20180104
22,0.0,Buy,22,20180104,201801040023,24.39,105700.0,143000,000581.SZ,201801040003,20180104
23,0.0,Buy,25,20180104,201801040024,13.39,184300.0,143000,601311.SH,201801040003,20180104
24,0.0,Sell,26,20180104,201801040025,24.92,401300.0,143000,600062.SH,201801040003,20180104
25,0.0,Sell,21,20180104,201801040026,6.98,1440100.0,143000,600757.SH,201801040003,20180104
26,0.0,Buy,28,20180104,201801040027,13.06,192900.0,143000,600037.SH,201801040003,20180104
27,0.0,Buy,24,20180104,201801040028,13.37,194300.0,143000,000400.SZ,201801040003,20180104
28,0.0,Buy,20,20180104,201801040029,19.86,130200.0,143000,600195.SH,201801040003,20180104
29,0.0,Buy,38,20180105,201801050030,15.06,834300.0,143000,600329.SH,201801050004,20180105
30,0.0,Sell,31,20180105,201801050031,24.63,3900.0,143000,000581.SZ,201801050004,20180105
31,0.0,Sell,30,20180105,201801050032,19.74,636300.0,143000,600195.SH,201801050004,20180105
32,0.0,Sell,32,20180105,201801050033,4.93,8900.0,143000,600582.SH,201801050004,20180105
33,0.0,Buy,35,20180105,201801050034,9.23,6800.0,143000,000541.SZ,201801050004,20180105
34,0.0,Sell,33,20180105,201801050035,13.44,2300.0,143000,000400.SZ,201801050004,20180105
35,0.0,Buy,37,20180105,201801050036,20.1,5300.0,143000,002440.SZ,201801050004,20180105
36,0.0,Buy,34,20180105,201801050037,13.33,3400.0,143000,601311.SH,201801050004,20180105
37,0.0,Sell,36,20180105,201801050038,13.09,100.0,143000,600037.SH,201801050004,20180105
38,0.0,Sell,42,20180108,201801080039,13.36,179300.0,143000,000400.SZ,201801080005,20180108
39,0.0,Sell,45,20180108,201801080040,9.31,284000.0,143000,000541.SZ,201801080005,20180108
40,0.0,Sell,40,20180108,201801080041,24.87,104600.0,143000,000581.SZ,201801080005,20180108
41,0.0,Sell,47,20180108,201801080042,20.17,123700.0,143000,002440.SZ,201801080005,20180108
42,0.0,Sell,48,20180108,201801080043,15.25,174500.0,143000,600329.SH,201801080005,20180108
43,0.0,Buy,39,20180108,201801080044,20.01,508100.0,143000,600195.SH,201801080005,20180108
44,0.0,Buy,44,20180108,201801080045,24.27,415800.0,143000,600062.SH,201801080005,20180108
45,0.0,Sell,43,20180108,201801080046,13.34,180600.0,143000,601311.SH,201801080005,20180108
46,0.0,Sell,41,20180108,201801080047,5.0,526100.0,143000,600582.SH,201801080005,20180108
47,0.0,Sell,46,20180108,201801080048,13.05,183800.0,143000,600037.SH,201801080005,20180108
48,0.0,Sell,49,20180109,201801090049,19.91,508100.0,143000,600195.SH,201801090006,20180109
49,0.0,Sell,55,20180109,201801090050,25.12,17000.0,143000,600062.SH,201801090006,20180109
50,0.0,Buy,54,20180109,201801090051,13.26,6400.0,143000,601311.SH,201801090006,20180109
51,0.0,Sell,52,20180109,201801090052,5.02,19100.0,143000,600582.SH,201801090006,20180109
52,0.0,Buy,53,20180109,201801090053,13.35,4600.0,143000,000400.SZ,201801090006,20180109
53,0.0,Buy,56,20180109,201801090054,9.35,3100.0,143000,000541.SZ,201801090006,20180109
54,0.0,Buy,59,20180109,201801090055,15.24,5500.0,143000,600329.SH,201801090006,20180109
55,0.0,Buy,50,20180109,201801090056,7.07,1435100.0,143000,600757.SH,201801090006,20180109
56,0.0,Sell,51,20180109,201801090057,25.04,2600.0,143000,000581.SZ,201801090006,20180109
57,0.0,Buy,57,20180109,201801090058,13.01,4300.0,143000,600037.SH,201801090006,20180109
58,0.0,Buy,58,20180109,201801090059,19.9,11100.0,143000,002440.SZ,201801090006,20180109
59,0.0,Buy,69,20180110,201801100060,15.09,76400.0,143000,600329.SH,201801100007,20180110
60,0.0,Buy,68,20180110,201801100061,19.77,49500.0,143000,002440.SZ,201801100007,20180110
61,0.0,Buy,62,20180110,201801100062,4.96,257800.0,143000,600582.SH,201801100007,20180110
62,0.0,Buy,67,20180110,201801100063,12.94,81800.0,143000,600037.SH,201801100007,20180110
63,0.0,Buy,63,20180110,201801100064,13.06,94700.0,143000,000400.SZ,201801100007,20180110
64,0.0,Buy,66,20180110,201801100065,9.31,114700.0,143000,000541.SZ,201801100007,20180110
65,0.0,Buy,64,20180110,201801100066,13.11,84700.0,143000,601311.SH,201801100007,20180110
66,0.0,Buy,60,20180110,201801100067,6.98,159700.0,143000,600757.SH,201801100007,20180110
67,0.0,Sell,65,20180110,201801100068,25.06,398800.0,143000,600062.SH,201801100007,20180110
68,0.0,Buy,61,20180110,201801100069,24.88,43100.0,143000,000581.SZ,201801100007,20180110
69,0.0,Sell,74,20180111,201801110070,13.27,11300.0,143000,601311.SH,201801110008,20180111
70,0.0,Buy,72,20180111,201801110071,4.87,38300.0,143000,600582.SH,201801110008,20180111
71,0.0,Sell,70,20180111,201801110072,7.02,100.0,143000,600757.SH,201801110008,20180111
72,0.0,Buy,78,20180111,201801110073,15.07,3300.0,143000,600329.SH,201801110008,20180111
73,0.0,Buy,71,20180111,201801110074,24.91,2800.0,143000,000581.SZ,201801110008,20180111
74,0.0,Sell,76,20180111,201801110075,13.0,9200.0,143000,600037.SH,201801110008,20180111
75,0.0,Buy,73,20180111,201801110076,13.0,1300.0,143000,000400.SZ,201801110008,20180111
76,0.0,Sell,77,20180111,201801110077,19.97,7100.0,143000,002440.SZ,201801110008,20180111
77,0.0,Buy,75,20180111,201801110078,9.28,10300.0,143000,000541.SZ,201801110008,20180111
78,0.0,Sell,80,20180112,201801120079,7.03,13000.0,143000,600757.SH,201801120009,20180112
79,0.0,Sell,84,20180112,201801120080,13.39,4300.0,143000,601311.SH,201801120009,20180112
80,0.0,Buy,86,20180112,201801120081,13.08,300.0,143000,600037.SH,201801120009,20180112
81,0.0,Sell,83,20180112,201801120082,13.06,5600.0,143000,000400.SZ,201801120009,20180112
82,0.0,Buy,87,20180112,201801120083,19.76,17400.0,143000,002440.SZ,201801120009,20180112
83,0.0,Sell,88,20180112,201801120084,15.06,745000.0,143000,600329.SH,201801120009,20180112
84,0.0,Buy,79,20180112,201801120085,19.99,557600.0,143000,600195.SH,201801120009,20180112
85,0.0,Buy,81,20180112,201801120086,24.75,3300.0,143000,000581.SZ,201801120009,20180112
86,0.0,Sell,82,20180112,201801120087,4.91,22100.0,143000,600582.SH,201801120009,20180112
87,0.0,Sell,85,20180112,201801120088,9.23,1200.0,143000,000541.SZ,201801120009,20180112
88,0.0,Sell,89,20180115,201801150089,19.59,3300.0,143000,600195.SH,201801150010,20180115
89,0.0,Buy,92,20180115,201801150090,4.74,25300.0,143000,600582.SH,201801150010,20180115
90,0.0,Buy,91,20180115,201801150091,24.23,2300.0,143000,000581.SZ,201801150010,20180115
91,0.0,Sell,90,20180115,201801150092,6.94,7100.0,143000,600757.SH,201801150010,20180115
92,0.0,Buy,93,20180115,201801150093,12.75,9700.0,143000,000400.SZ,201801150010,20180115
93,0.0,Buy,96,20180115,201801150094,12.76,7000.0,143000,600037.SH,201801150010,20180115
94,0.0,Buy,94,20180115,201801150095,12.99,9600.0,143000,601311.SH,201801150010,20180115
95,0.0,Sell,97,20180115,201801150096,19.46,14400.0,143000,002440.SZ,201801150010,20180115
96,0.0,Sell,95,20180115,201801150097,9.12,12500.0,143000,000541.SZ,201801150010,20180115
97,0.0,Sell,103,20180116,201801160098,13.0,95700.0,143000,601311.SH,201801160011,20180116
98,0.0,Sell,106,20180116,201801160099,12.61,82000.0,143000,600037.SH,201801160011,20180116
99,0.0,Sell,101,20180116,201801160100,4.67,199000.0,143000,600582.SH,201801160011,20180116
100,0.0,Buy,108,20180116,201801160101,14.93,660800.0,143000,600329.SH,201801160011,20180116
101,0.0,Sell,102,20180116,201801160102,12.43,63700.0,143000,000400.SZ,201801160011,20180116
102,0.0,Sell,105,20180116,201801160103,9.15,122700.0,143000,000541.SZ,201801160011,20180116
103,0.0,Sell,99,20180116,201801160104,6.92,1574600.0,143000,600757.SH,201801160011,20180116
104,0.0,Sell,100,20180116,201801160105,24.81,67300.0,143000,000581.SZ,201801160011,20180116
105,0.0,Buy,104,20180116,201801160106,24.2,407700.0,143000,600062.SH,201801160011,20180116
106,0.0,Sell,98,20180116,201801160107,19.26,42800.0,143000,600195.SH,201801160011,20180116
107,0.0,Sell,107,20180116,201801160108,19.52,57000.0,143000,002440.SZ,201801160011,20180116
108,0.0,Buy,118,20180117,201801170109,19.32,27300.0,143000,002440.SZ,201801170012,20180117
109,0.0,Buy,117,20180117,201801170110,12.64,800.0,143000,600037.SH,201801170012,20180117
110,0.0,Buy,111,20180117,201801170111,25.39,400.0,143000,000581.SZ,201801170012,20180117
111,0.0,Buy,114,20180117,201801170112,13.05,3800.0,143000,601311.SH,201801170012,20180117
112,0.0,Buy,119,20180117,201801170113,14.91,4100.0,143000,600329.SH,201801170012,20180117
113,0.0,Buy,110,20180117,201801170114,7.03,1398200.0,143000,600757.SH,201801170012,20180117
114,0.0,Sell,116,20180117,201801170115,9.37,25500.0,143000,000541.SZ,201801170012,20180117
115,0.0,Buy,113,20180117,201801170116,12.17,15100.0,143000,000400.SZ,201801170012,20180117
116,0.0,Sell,109,20180117,201801170117,20.12,511500.0,143000,600195.SH,201801170012,20180117
117,0.0,Buy,112,20180117,201801170118,4.64,3700.0,143000,600582.SH,201801170012,20180117
118,0.0,Buy,115,20180117,201801170119,24.15,1300.0,143000,600062.SH,201801170012,20180117
119,0.0,Sell,131,20180118,201801180120,14.91,664900.0,143000,600329.SH,201801180013,20180118
120,0.0,Buy,130,20180118,201801180121,17.53,521200.0,143000,000887.SZ,201801180013,20180118
121,0.0,Sell,125,20180118,201801180122,13.03,54200.0,143000,601311.SH,201801180013,20180118
122,0.0,Sell,126,20180118,201801180123,24.25,29800.0,143000,600062.SH,201801180013,20180118
123,0.0,Sell,121,20180118,201801180124,7.06,108900.0,143000,600757.SH,201801180013,20180118
124,0.0,Sell,123,20180118,201801180125,4.79,253400.0,143000,600582.SH,201801180013,20180118
125,0.0,Buy,120,20180118,201801180126,20.47,445900.0,143000,600195.SH,201801180013,20180118
126,0.0,Sell,124,20180118,201801180127,12.27,77500.0,143000,000400.SZ,201801180013,20180118
127,0.0,Sell,127,20180118,201801180128,9.44,87800.0,143000,000541.SZ,201801180013,20180118
128,0.0,Sell,122,20180118,201801180129,25.41,31500.0,143000,000581.SZ,201801180013,20180118
129,0.0,Sell,129,20180118,201801180130,19.46,72700.0,143000,002440.SZ,201801180013,20180118
130,0.0,Sell,128,20180118,201801180131,12.78,65500.0,143000,600037.SH,201801180013,20180118
131,0.0,Buy,132,20180119,201801190132,20.27,5000.0,143000,600195.SH,201801190014,20180119
132,0.0,Buy,137,20180119,201801190133,12.86,7900.0,143000,601311.SH,201801190014,20180119
133,0.0,Sell,135,20180119,201801190134,4.84,1100.0,143000,600582.SH,201801190014,20180119
134,0.0,Sell,141,20180119,201801190135,20.29,2600.0,143000,002440.SZ,201801190014,20180119
135,0.0,Sell,142,20180119,201801190136,17.55,4400.0,143000,000887.SZ,201801190014,20180119
136,0.0,Sell,139,20180119,201801190137,9.5,500.0,143000,000541.SZ,201801190014,20180119
137,0.0,Buy,138,20180119,201801190138,23.81,3900.0,143000,600062.SH,201801190014,20180119
138,0.0,Buy,136,20180119,201801190139,12.34,400.0,143000,000400.SZ,201801190014,20180119
139,0.0,Sell,140,20180119,201801190140,12.79,5800.0,143000,600037.SH,201801190014,20180119
140,0.0,Sell,133,20180119,201801190141,7.07,1600.0,143000,600757.SH,201801190014,20180119
141,0.0,Sell,134,20180119,201801190142,25.7,3000.0,143000,000581.SZ,201801190014,20180119
142,0.0,Buy,146,20180122,201801220143,4.88,204300.0,143000,600582.SH,201801220015,20180122
143,0.0,Buy,151,20180122,201801220144,12.98,62600.0,143000,600037.SH,201801220015,20180122
144,0.0,Buy,149,20180122,201801220145,24.06,33500.0,143000,600062.SH,201801220015,20180122
145,0.0,Buy,147,20180122,201801220146,12.45,64500.0,143000,000400.SZ,201801220015,20180122
146,0.0,Buy,148,20180122,201801220147,12.76,76300.0,143000,601311.SH,201801220015,20180122
147,0.0,Sell,153,20180122,201801220148,17.37,516800.0,143000,000887.SZ,201801220015,20180122
148,0.0,Buy,143,20180122,201801220149,20.16,46700.0,143000,600195.SH,201801220015,20180122
149,0.0,Buy,152,20180122,201801220150,20.3,43300.0,143000,002440.SZ,201801220015,20180122
150,0.0,Buy,144,20180122,201801220151,7.13,122900.0,143000,600757.SH,201801220015,20180122
151,0.0,Buy,145,20180122,201801220152,25.68,36600.0,143000,000581.SZ,201801220015,20180122
152,0.0,Buy,150,20180122,201801220153,9.48,101700.0,143000,000541.SZ,201801220015,20180122
153,0.0,Sell,163,20180123,201801230154,20.59,43800.0,143000,002440.SZ,201801230016,20180123
154,0.0,Sell,162,20180123,201801230155,13.12,74300.0,143000,600037.SH,201801230016,20180123
155,0.0,Sell,161,20180123,201801230156,9.43,89200.0,143000,000541.SZ,201801230016,20180123
156,0.0,Sell,156,20180123,201801230157,25.64,32200.0,143000,000581.SZ,201801230016,20180123
157,0.0,Sell,154,20180123,201801230158,20.48,48100.0,143000,600195.SH,201801230016,20180123
158,0.0,Sell,155,20180123,201801230159,7.14,126200.0,143000,600757.SH,201801230016,20180123
159,0.0,Sell,160,20180123,201801230160,24.19,37800.0,143000,600062.SH,201801230016,20180123
160,0.0,Buy,164,20180123,201801230161,17.56,522800.0,143000,000887.SZ,201801230016,20180123
161,0.0,Sell,158,20180123,201801230162,12.5,67000.0,143000,000400.SZ,201801230016,20180123
162,0.0,Sell,159,20180123,201801230163,12.79,69000.0,143000,601311.SH,201801230016,20180123
163,0.0,Sell,157,20180123,201801230164,4.93,225800.0,143000,600582.SH,201801230016,20180123
164,0.0,Sell,167,20180124,201801240165,25.74,2200.0,143000,000581.SZ,201801240017,20180124
165,0.0,Sell,169,20180124,201801240166,12.51,2300.0,143000,000400.SZ,201801240017,20180124
166,0.0,Sell,172,20180124,201801240167,9.49,3500.0,143000,000541.SZ,201801240017,20180124
167,0.0,Sell,173,20180124,201801240168,13.26,7700.0,143000,600037.SH,201801240017,20180124
168,0.0,Buy,165,20180124,201801240169,20.0,9600.0,143000,600195.SH,201801240017,20180124
169,0.0,Sell,174,20180124,201801240170,20.48,1100.0,143000,002440.SZ,201801240017,20180124
170,0.0,Sell,166,20180124,201801240171,7.23,11600.0,143000,600757.SH,201801240017,20180124
171,0.0,Sell,175,20180124,201801240172,17.52,3100.0,143000,000887.SZ,201801240017,20180124
172,0.0,Buy,168,20180124,201801240173,4.91,24000.0,143000,600582.SH,201801240017,20180124
173,0.0,Buy,171,20180124,201801240174,24.11,3600.0,143000,600062.SH,201801240017,20180124
174,0.0,Sell,170,20180124,201801240175,12.84,1000.0,143000,601311.SH,201801240017,20180124
175,0.0,Buy,184,20180125,201801250176,13.37,77700.0,143000,600037.SH,201801250018,20180125
176,0.0,Buy,182,20180125,201801250177,24.23,33600.0,143000,600062.SH,201801250018,20180125
177,0.0,Buy,180,20180125,201801250178,12.66,70100.0,143000,000400.SZ,201801250018,20180125
178,0.0,Buy,183,20180125,201801250179,9.53,100300.0,143000,000541.SZ,201801250018,20180125
179,0.0,Sell,186,20180125,201801250180,17.58,519700.0,143000,000887.SZ,201801250018,20180125
180,0.0,Sell,176,20180125,201801250181,20.38,459100.0,143000,600195.SH,201801250018,20180125
181,0.0,Buy,179,20180125,201801250182,4.93,187000.0,143000,600582.SH,201801250018,20180125
182,0.0,Buy,177,20180125,201801250183,7.36,117700.0,143000,600757.SH,201801250018,20180125
183,0.0,Buy,185,20180125,201801250184,20.55,48100.0,143000,002440.SZ,201801250018,20180125
184,0.0,Buy,178,20180125,201801250185,25.65,38700.0,143000,000581.SZ,201801250018,20180125
185,0.0,Buy,181,20180125,201801250186,13.0,68500.0,143000,601311.SH,201801250018,20180125
186,0.0,Buy,187,20180125,201801250187,15.38,659100.0,143000,600329.SH,201801250018,20180125
187,0.0,Sell,189,20180126,201801260188,7.24,113900.0,143000,600757.SH,201801260019,20180126
188,0.0,Sell,191,20180126,201801260189,4.93,185200.0,143000,600582.SH,201801260019,20180126
189,0.0,Sell,194,20180126,201801260190,24.5,38700.0,143000,600062.SH,201801260019,20180126
190,0.0,Sell,197,20180126,201801260191,20.51,42600.0,143000,002440.SZ,201801260019,20180126
191,0.0,Sell,195,20180126,201801260192,9.57,105500.0,143000,000541.SZ,201801260019,20180126
192,0.0,Sell,192,20180126,201801260193,12.53,63800.0,143000,000400.SZ,201801260019,20180126
193,0.0,Buy,188,20180126,201801260194,20.6,455500.0,143000,600195.SH,201801260019,20180126
194,0.0,Sell,199,20180126,201801260195,15.29,659100.0,143000,600329.SH,201801260019,20180126
195,0.0,Sell,193,20180126,201801260196,12.98,71800.0,143000,601311.SH,201801260019,20180126
196,0.0,Sell,190,20180126,201801260197,26.38,46000.0,143000,000581.SZ,201801260019,20180126
197,0.0,Buy,198,20180126,201801260198,17.36,534600.0,143000,000887.SZ,201801260019,20180126
198,0.0,Sell,196,20180126,201801260199,13.35,70900.0,143000,600037.SH,201801260019,20180126
199,0.0,Buy,207,20180129,201801290200,9.48,6500.0,143000,000541.SZ,201801290020,20180129
200,0.0,Sell,202,20180129,201801290201,26.33,3100.0,143000,000581.SZ,201801290020,20180129
201,0.0,Sell,201,20180129,201801290202,7.22,6700.0,143000,600757.SH,201801290020,20180129
202,0.0,Buy,204,20180129,201801290203,12.4,2900.0,143000,000400.SZ,201801290020,20180129
203,0.0,Buy,203,20180129,201801290204,4.94,7700.0,143000,600582.SH,201801290020,20180129
204,0.0,Buy,200,20180129,201801290205,20.22,2200.0,143000,600195.SH,201801290020,20180129
205,0.0,Sell,208,20180129,201801290206,13.34,6400.0,143000,600037.SH,201801290020,20180129
206,0.0,Buy,209,20180129,201801290207,19.94,7500.0,143000,002440.SZ,201801290020,20180129
207,0.0,Sell,205,20180129,201801290208,12.89,2100.0,143000,601311.SH,201801290020,20180129
208,0.0,Sell,210,20180129,201801290209,17.22,3700.0,143000,000887.SZ,201801290020,20180129
209,0.0,Sell,206,20180129,201801290210,24.62,900.0,143000,600062.SH,201801290020,20180129
210,0.0,Buy,221,20180130,201801300211,17.21,4000.0,143000,000887.SZ,201801300021,20180130
211,0.0,Buy,212,20180130,201801300212,7.25,2600.0,143000,600757.SH,201801300021,20180130
212,0.0,Buy,219,20180130,201801300213,13.26,9800.0,143000,600037.SH,201801300021,20180130
213,0.0,Buy,213,20180130,201801300214,26.67,3700.0,143000,000581.SZ,201801300021,20180130
214,0.0,Sell,214,20180130,201801300215,4.93,23600.0,143000,600582.SH,201801300021,20180130
215,0.0,Buy,217,20180130,201801300216,23.56,18400.0,143000,600062.SH,201801300021,20180130
216,0.0,Buy,218,20180130,201801300217,9.41,8300.0,143000,000541.SZ,201801300021,20180130
217,0.0,Buy,215,20180130,201801300218,12.32,5700.0,143000,000400.SZ,201801300021,20180130
218,0.0,Sell,211,20180130,201801300219,20.3,3700.0,143000,600195.SH,201801300021,20180130
219,0.0,Buy,216,20180130,201801300220,12.85,3900.0,143000,601311.SH,201801300021,20180130
220,0.0,Sell,220,20180130,201801300221,20.93,34900.0,143000,002440.SZ,201801300021,20180130
221,0.0,Sell,223,20180131,201801310222,7.16,11000.0,143000,600757.SH,201801310022,20180131
222,0.0,Sell,232,20180131,201801310223,17.08,11000.0,143000,000887.SZ,201801310022,20180131
223,0.0,Buy,229,20180131,201801310224,9.2,10700.0,143000,000541.SZ,201801310022,20180131
224,0.0,Buy,226,20180131,201801310225,12.04,6000.0,143000,000400.SZ,201801310022,20180131
225,0.0,Sell,224,20180131,201801310226,25.95,3700.0,143000,000581.SZ,201801310022,20180131
226,0.0,Sell,228,20180131,201801310227,23.19,3100.0,143000,600062.SH,201801310022,20180131
227,0.0,Buy,231,20180131,201801310228,21.13,3500.0,143000,002440.SZ,201801310022,20180131
228,0.0,Sell,222,20180131,201801310229,19.99,300.0,143000,600195.SH,201801310022,20180131
229,0.0,Buy,230,20180131,201801310230,12.85,9100.0,143000,600037.SH,201801310022,20180131
230,0.0,Buy,227,20180131,201801310231,12.62,8600.0,143000,601311.SH,201801310022,20180131
231,0.0,Sell,225,20180131,201801310232,4.93,4200.0,143000,600582.SH,201801310022,20180131
232,0.0,Sell,242,20180201,201802010233,21.15,11200.0,143000,002440.SZ,201802010023,20180201
233,0.0,Buy,241,20180201,201802010234,12.6,100.0,143000,600037.SH,201802010023,20180201
234,0.0,Buy,235,20180201,201802010235,25.51,2500.0,143000,000581.SZ,201802010023,20180201
235,0.0,Buy,234,20180201,201802010236,7.05,5600.0,143000,600757.SH,201802010023,20180201
236,0.0,Buy,237,20180201,201802010237,11.72,13100.0,143000,000400.SZ,201802010023,20180201
237,0.0,Sell,240,20180201,201802010238,9.04,9700.0,143000,000541.SZ,201802010023,20180201
238,0.0,Buy,238,20180201,201802010239,11.77,31900.0,143000,601311.SH,201802010023,20180201
239,0.0,Sell,239,20180201,201802010240,22.67,3900.0,143000,600062.SH,201802010023,20180201
240,0.0,Sell,236,20180201,201802010241,4.78,31400.0,143000,600582.SH,201802010023,20180201
241,0.0,Buy,243,20180201,201802010242,16.83,5000.0,143000,000887.SZ,201802010023,20180201
242,0.0,Sell,233,20180201,201802010243,19.78,7600.0,143000,600195.SH,201802010023,20180201
243,0.0,Sell,249,20180202,201802020244,11.61,63800.0,143000,601311.SH,201802020024,20180202
244,0.0,Sell,244,20180202,201802020245,19.51,27600.0,143000,600195.SH,201802020024,20180202
245,0.0,Sell,253,20180202,201802020246,20.93,41700.0,143000,002440.SZ,201802020024,20180202
246,0.0,Sell,247,20180202,201802020247,4.84,173300.0,143000,600582.SH,201802020024,20180202
247,0.0,Sell,251,20180202,201802020248,8.96,78900.0,143000,000541.SZ,201802020024,20180202
248,0.0,Sell,250,20180202,201802020249,23.04,38700.0,143000,600062.SH,201802020024,20180202
249,0.0,Buy,254,20180202,201802020250,13.97,578000.0,143000,600633.SH,201802020024,20180202
250,0.0,Sell,246,20180202,201802020251,25.09,29600.0,143000,000581.SZ,201802020024,20180202
251,0.0,Sell,248,20180202,201802020252,11.37,59600.0,143000,000400.SZ,201802020024,20180202
252,0.0,Sell,255,20180202,201802020253,16.76,44400.0,143000,000887.SZ,201802020024,20180202
253,0.0,Sell,245,20180202,201802020254,6.96,106100.0,143000,600757.SH,201802020024,20180202
254,0.0,Sell,252,20180202,201802020255,12.24,45000.0,143000,600037.SH,201802020024,20180202
255,0.0,Buy,262,20180205,201802050256,22.77,8000.0,143000,600062.SH,201802050025,20180205
256,0.0,Sell,261,20180205,201802050257,11.7,8600.0,143000,601311.SH,201802050025,20180205
257,0.0,Buy,257,20180205,201802050258,6.98,2600.0,143000,600757.SH,201802050025,20180205
258,0.0,Sell,265,20180205,201802050259,22.08,13400.0,143000,002440.SZ,201802050025,20180205
259,0.0,Buy,260,20180205,201802050260,11.37,10500.0,143000,000400.SZ,201802050025,20180205
260,0.0,Sell,258,20180205,201802050261,25.41,1100.0,143000,000581.SZ,201802050025,20180205
